['010001.jpg'] ssim/ir:0.264721 ssim/vi:0.115473
['010002.jpg'] ssim/ir:0.107630 ssim/vi:0.160687
['010003.jpg'] ssim/ir:0.163136 ssim/vi:0.109992
['010004.jpg'] ssim/ir:0.119788 ssim/vi:0.143505
['010005.jpg'] ssim/ir:0.071741 ssim/vi:0.158985
['010006.jpg'] ssim/ir:0.104458 ssim/vi:0.156805
['010007.jpg'] ssim/ir:0.096573 ssim/vi:0.124034
['010008.jpg'] ssim/ir:0.104423 ssim/vi:0.141158
['010009.jpg'] ssim/ir:0.275517 ssim/vi:0.140245
['010010.jpg'] ssim/ir:0.180213 ssim/vi:0.132722
['010011.jpg'] ssim/ir:0.106768 ssim/vi:0.132177
['010012.jpg'] ssim/ir:0.126248 ssim/vi:0.125213
['010013.jpg'] ssim/ir:0.110932 ssim/vi:0.149938
['010014.jpg'] ssim/ir:0.078936 ssim/vi:0.132827
['010015.jpg'] ssim/ir:0.101716 ssim/vi:0.115098
['010016.jpg'] ssim/ir:0.156523 ssim/vi:0.107394
['010017.jpg'] ssim/ir:0.084298 ssim/vi:0.140398
['010018.jpg'] ssim/ir:0.155603 ssim/vi:0.132258
['010019.jpg'] ssim/ir:0.122331 ssim/vi:0.128106
['010020.jpg'] ssim/ir:0.164941 ssim/vi:0.111435
['010021.jpg'] ssim/ir:0.083734 ssim/vi:0.165056
['010022.jpg'] ssim/ir:0.084585 ssim/vi:0.126595
['010023.jpg'] ssim/ir:0.137529 ssim/vi:0.126728
['010024.jpg'] ssim/ir:0.122325 ssim/vi:0.172202
['010025.jpg'] ssim/ir:0.161203 ssim/vi:0.107511
['010026.jpg'] ssim/ir:0.107036 ssim/vi:0.143079
['010027.jpg'] ssim/ir:0.130721 ssim/vi:0.125745
['010028.jpg'] ssim/ir:0.101492 ssim/vi:0.150066
['010029.jpg'] ssim/ir:0.086780 ssim/vi:0.133423
['010030.jpg'] ssim/ir:0.091883 ssim/vi:0.135652
['010031.jpg'] ssim/ir:0.105474 ssim/vi:0.136314
['010032.jpg'] ssim/ir:0.094775 ssim/vi:0.161768
['010033.jpg'] ssim/ir:0.086911 ssim/vi:0.129775
['010034.jpg'] ssim/ir:0.126328 ssim/vi:0.126474
['010035.jpg'] ssim/ir:0.107837 ssim/vi:0.128285
['010036.jpg'] ssim/ir:0.098089 ssim/vi:0.130492
['010037.jpg'] ssim/ir:0.172194 ssim/vi:0.093542
['010038.jpg'] ssim/ir:0.097952 ssim/vi:0.142184
['010039.jpg'] ssim/ir:0.157699 ssim/vi:0.112046
['010040.jpg'] ssim/ir:0.131752 ssim/vi:0.162842
['010041.jpg'] ssim/ir:0.138085 ssim/vi:0.139972
['010042.jpg'] ssim/ir:0.116971 ssim/vi:0.131967
['010043.jpg'] ssim/ir:0.134652 ssim/vi:0.122864
['010044.jpg'] ssim/ir:0.147726 ssim/vi:0.130364
['010045.jpg'] ssim/ir:0.116728 ssim/vi:0.135057
['010046.jpg'] ssim/ir:0.124955 ssim/vi:0.143171
['010047.jpg'] ssim/ir:0.146759 ssim/vi:0.116975
['010048.jpg'] ssim/ir:0.082804 ssim/vi:0.128053
['010049.jpg'] ssim/ir:0.098269 ssim/vi:0.138992
['010050.jpg'] ssim/ir:0.119534 ssim/vi:0.136346
['010051.jpg'] ssim/ir:0.106334 ssim/vi:0.136700
['010052.jpg'] ssim/ir:0.146039 ssim/vi:0.126201
['010053.jpg'] ssim/ir:0.089846 ssim/vi:0.159166
['010054.jpg'] ssim/ir:0.087500 ssim/vi:0.125230
['010055.jpg'] ssim/ir:0.099037 ssim/vi:0.144890
['010056.jpg'] ssim/ir:0.100955 ssim/vi:0.139904
['010057.jpg'] ssim/ir:0.160170 ssim/vi:0.121786
['010058.jpg'] ssim/ir:0.084384 ssim/vi:0.147734
['010059.jpg'] ssim/ir:0.081490 ssim/vi:0.138842
['010060.jpg'] ssim/ir:0.142237 ssim/vi:0.139673
['010061.jpg'] ssim/ir:0.087026 ssim/vi:0.124935
['010062.jpg'] ssim/ir:0.153387 ssim/vi:0.117595
['010063.jpg'] ssim/ir:0.123134 ssim/vi:0.105935
['010064.jpg'] ssim/ir:0.066127 ssim/vi:0.160826
['010065.jpg'] ssim/ir:0.118776 ssim/vi:0.157470
['010066.jpg'] ssim/ir:0.147195 ssim/vi:0.122754
['010067.jpg'] ssim/ir:0.096088 ssim/vi:0.139880
['010068.jpg'] ssim/ir:0.137111 ssim/vi:0.128327
['010069.jpg'] ssim/ir:0.128410 ssim/vi:0.145714
['010070.jpg'] ssim/ir:0.095896 ssim/vi:0.137851
['010071.jpg'] ssim/ir:0.112805 ssim/vi:0.125693
['010072.jpg'] ssim/ir:0.131272 ssim/vi:0.158126
['010073.jpg'] ssim/ir:0.105102 ssim/vi:0.112188
['010074.jpg'] ssim/ir:0.074265 ssim/vi:0.164150
['010075.jpg'] ssim/ir:0.077298 ssim/vi:0.126694
['010076.jpg'] ssim/ir:0.095991 ssim/vi:0.140591
['010077.jpg'] ssim/ir:0.190881 ssim/vi:0.101362
['010078.jpg'] ssim/ir:0.142746 ssim/vi:0.151897
['010079.jpg'] ssim/ir:0.100503 ssim/vi:0.137482
['010080.jpg'] ssim/ir:0.088086 ssim/vi:0.128605
['010081.jpg'] ssim/ir:0.091429 ssim/vi:0.126751
['010082.jpg'] ssim/ir:0.092032 ssim/vi:0.149877
['010083.jpg'] ssim/ir:0.078236 ssim/vi:0.134938
['010084.jpg'] ssim/ir:0.113564 ssim/vi:0.143519
['010085.jpg'] ssim/ir:0.114165 ssim/vi:0.134023
['010086.jpg'] ssim/ir:0.140250 ssim/vi:0.131882
['010087.jpg'] ssim/ir:0.166191 ssim/vi:0.126183
['010088.jpg'] ssim/ir:0.226329 ssim/vi:0.137182
['010089.jpg'] ssim/ir:0.103308 ssim/vi:0.128601
['010090.jpg'] ssim/ir:0.123134 ssim/vi:0.135246
['010091.jpg'] ssim/ir:0.111252 ssim/vi:0.133257
['010092.jpg'] ssim/ir:0.137585 ssim/vi:0.121383
['010093.jpg'] ssim/ir:0.128645 ssim/vi:0.120312
['010094.jpg'] ssim/ir:0.128776 ssim/vi:0.166230
['010095.jpg'] ssim/ir:0.100675 ssim/vi:0.130570
['010096.jpg'] ssim/ir:0.098489 ssim/vi:0.139958
['010097.jpg'] ssim/ir:0.153094 ssim/vi:0.131091
['010098.jpg'] ssim/ir:0.086207 ssim/vi:0.128486
['010099.jpg'] ssim/ir:0.127677 ssim/vi:0.126622
['010100.jpg'] ssim/ir:0.064747 ssim/vi:0.157141
['010101.jpg'] ssim/ir:0.162650 ssim/vi:0.112579
['010102.jpg'] ssim/ir:0.098983 ssim/vi:0.126970
['010103.jpg'] ssim/ir:0.129564 ssim/vi:0.132906
['010104.jpg'] ssim/ir:0.146826 ssim/vi:0.143092
['010105.jpg'] ssim/ir:0.094925 ssim/vi:0.141628
['010106.jpg'] ssim/ir:0.177345 ssim/vi:0.177668
['010107.jpg'] ssim/ir:0.110760 ssim/vi:0.138058
['010108.jpg'] ssim/ir:0.100098 ssim/vi:0.130761
['010109.jpg'] ssim/ir:0.087990 ssim/vi:0.157791
['010110.jpg'] ssim/ir:0.137584 ssim/vi:0.119659
['010111.jpg'] ssim/ir:0.088051 ssim/vi:0.132828
['010112.jpg'] ssim/ir:0.113159 ssim/vi:0.137469
['010113.jpg'] ssim/ir:0.079074 ssim/vi:0.147382
['010114.jpg'] ssim/ir:0.093337 ssim/vi:0.130482
['010115.jpg'] ssim/ir:0.092758 ssim/vi:0.163006
['010116.jpg'] ssim/ir:0.118919 ssim/vi:0.140769
['010117.jpg'] ssim/ir:0.084237 ssim/vi:0.166509
