['00000.png'] ssim/ir:0.019559 ssim/vi:0.264481
['00011.png'] ssim/ir:0.019391 ssim/vi:0.260015
['00025.png'] ssim/ir:0.016914 ssim/vi:0.219200
['00031.png'] ssim/ir:0.017453 ssim/vi:0.223423
['00033.png'] ssim/ir:0.019012 ssim/vi:0.251455
['00042.png'] ssim/ir:0.018300 ssim/vi:0.237164
['00061.png'] ssim/ir:0.016191 ssim/vi:0.201521
['00071.png'] ssim/ir:0.016372 ssim/vi:0.199485
['00082.png'] ssim/ir:0.008844 ssim/vi:0.245901
['00097.png'] ssim/ir:0.008287 ssim/vi:0.229064
['00107.png'] ssim/ir:0.009393 ssim/vi:0.249342
['00112.png'] ssim/ir:0.017532 ssim/vi:0.273394
['00118.png'] ssim/ir:0.017505 ssim/vi:0.269560
['00147.png'] ssim/ir:0.016190 ssim/vi:0.240640
['00149.png'] ssim/ir:0.015832 ssim/vi:0.260822
['00150.png'] ssim/ir:0.015587 ssim/vi:0.267001
['00159.png'] ssim/ir:0.015162 ssim/vi:0.260428
['00177.png'] ssim/ir:0.015305 ssim/vi:0.282457
['00196.png'] ssim/ir:0.016647 ssim/vi:0.306237
['00202.png'] ssim/ir:0.015198 ssim/vi:0.278366
['00210.png'] ssim/ir:0.016980 ssim/vi:0.270800
['00215.png'] ssim/ir:0.017095 ssim/vi:0.281179
['00232.png'] ssim/ir:0.015184 ssim/vi:0.255277
['00242.png'] ssim/ir:0.013779 ssim/vi:0.221639
['00255.png'] ssim/ir:0.007398 ssim/vi:0.158056
['00274.png'] ssim/ir:0.006938 ssim/vi:0.182733
['00284.png'] ssim/ir:0.006830 ssim/vi:0.177779
['00290.png'] ssim/ir:0.006917 ssim/vi:0.180147
['00306.png'] ssim/ir:0.007215 ssim/vi:0.185606
['00320.png'] ssim/ir:0.013274 ssim/vi:0.210038
['00325.png'] ssim/ir:0.008350 ssim/vi:0.187655
['00334.png'] ssim/ir:0.008442 ssim/vi:0.160683
['00339.png'] ssim/ir:0.008401 ssim/vi:0.127651
['00349.png'] ssim/ir:0.012286 ssim/vi:0.195887
['00353.png'] ssim/ir:0.012378 ssim/vi:0.197993
['00370.png'] ssim/ir:0.012374 ssim/vi:0.201216
['00385.png'] ssim/ir:0.012224 ssim/vi:0.194906
['00386.png'] ssim/ir:0.008409 ssim/vi:0.165567
['00388.png'] ssim/ir:0.007621 ssim/vi:0.163534
['00389.png'] ssim/ir:0.008876 ssim/vi:0.162928
['00390.png'] ssim/ir:0.008664 ssim/vi:0.154892
['00400.png'] ssim/ir:0.011426 ssim/vi:0.197455
['00405.png'] ssim/ir:0.010206 ssim/vi:0.179364
['00409.png'] ssim/ir:0.012645 ssim/vi:0.173881
['00419.png'] ssim/ir:0.013484 ssim/vi:0.173113
['00421.png'] ssim/ir:0.013056 ssim/vi:0.191618
['00434.png'] ssim/ir:0.012691 ssim/vi:0.176072
['00441.png'] ssim/ir:0.012855 ssim/vi:0.145531
['00443.png'] ssim/ir:0.015830 ssim/vi:0.191660
['00449.png'] ssim/ir:0.012447 ssim/vi:0.137584
['00453.png'] ssim/ir:0.012395 ssim/vi:0.169796
['00461.png'] ssim/ir:0.012789 ssim/vi:0.172494
['00479.png'] ssim/ir:0.014851 ssim/vi:0.175043
['00489.png'] ssim/ir:0.012121 ssim/vi:0.150371
['00497.png'] ssim/ir:0.013609 ssim/vi:0.165728
['00512.png'] ssim/ir:0.010172 ssim/vi:0.207333
['00525.png'] ssim/ir:0.011120 ssim/vi:0.177767
['00527.png'] ssim/ir:0.009820 ssim/vi:0.190323
['00537.png'] ssim/ir:0.012014 ssim/vi:0.153522
['00555.png'] ssim/ir:0.012924 ssim/vi:0.170370
['00572.png'] ssim/ir:0.012037 ssim/vi:0.153016
['00587.png'] ssim/ir:0.010137 ssim/vi:0.144452
['00606.png'] ssim/ir:0.010731 ssim/vi:0.152156
['00621.png'] ssim/ir:0.011199 ssim/vi:0.152399
['00633.png'] ssim/ir:0.010881 ssim/vi:0.132266
['00643.png'] ssim/ir:0.008059 ssim/vi:0.157805
['00652.png'] ssim/ir:0.006752 ssim/vi:0.131241
['00653.png'] ssim/ir:0.006626 ssim/vi:0.136316
['00661.png'] ssim/ir:0.009108 ssim/vi:0.154767
['00671.png'] ssim/ir:0.008656 ssim/vi:0.153927
['00676.png'] ssim/ir:0.007925 ssim/vi:0.151578
['00677.png'] ssim/ir:0.008425 ssim/vi:0.166767
['00687.png'] ssim/ir:0.008331 ssim/vi:0.160032
['00697.png'] ssim/ir:0.007057 ssim/vi:0.138604
['00712.png'] ssim/ir:0.013631 ssim/vi:0.202717
['00716.png'] ssim/ir:0.011588 ssim/vi:0.148291
['00719.png'] ssim/ir:0.019532 ssim/vi:0.418985
['00725.png'] ssim/ir:0.019801 ssim/vi:0.414498
['00726.png'] ssim/ir:0.020057 ssim/vi:0.416990
['00738.png'] ssim/ir:0.021666 ssim/vi:0.390006
['00760.png'] ssim/ir:0.020814 ssim/vi:0.335019
['00762.png'] ssim/ir:0.021827 ssim/vi:0.348252
['00769.png'] ssim/ir:0.021524 ssim/vi:0.341920
['00787.png'] ssim/ir:0.011513 ssim/vi:0.360737
['00800.png'] ssim/ir:0.011784 ssim/vi:0.365897
['00801.png'] ssim/ir:0.014746 ssim/vi:0.312936
