['001.png'] ssim/ir:0.016005 ssim/vi:0.311111
['002.png'] ssim/ir:0.020847 ssim/vi:0.284061
['003.png'] ssim/ir:0.015970 ssim/vi:0.309368
['004.png'] ssim/ir:0.009952 ssim/vi:0.223247
['005.png'] ssim/ir:0.011886 ssim/vi:0.233024
['006.png'] ssim/ir:0.009217 ssim/vi:0.267693
['007.png'] ssim/ir:0.012869 ssim/vi:0.248208
['008.png'] ssim/ir:0.015507 ssim/vi:0.262247
['009.png'] ssim/ir:0.011208 ssim/vi:0.256792
['010.png'] ssim/ir:0.012889 ssim/vi:0.182709
['011.png'] ssim/ir:0.010656 ssim/vi:0.190724
['012.png'] ssim/ir:0.009130 ssim/vi:0.168374
['013.png'] ssim/ir:0.009049 ssim/vi:0.178080
['014.png'] ssim/ir:0.009658 ssim/vi:0.198390
['015.png'] ssim/ir:0.009135 ssim/vi:0.244914
['016.png'] ssim/ir:0.007149 ssim/vi:0.168222
['017.png'] ssim/ir:0.006017 ssim/vi:0.147245
['018.png'] ssim/ir:0.007681 ssim/vi:0.230111
['019.png'] ssim/ir:0.009494 ssim/vi:0.202571
['020.png'] ssim/ir:0.009648 ssim/vi:0.183481
['021.png'] ssim/ir:0.012035 ssim/vi:0.207845
['022.png'] ssim/ir:0.011181 ssim/vi:0.201340
['023.png'] ssim/ir:0.009130 ssim/vi:0.168374
['024.png'] ssim/ir:0.009049 ssim/vi:0.178080
['025.png'] ssim/ir:0.009658 ssim/vi:0.198390
['026.png'] ssim/ir:0.009430 ssim/vi:0.138384
['027.png'] ssim/ir:0.010631 ssim/vi:0.197386
['028.png'] ssim/ir:0.013760 ssim/vi:0.198364
['029.png'] ssim/ir:0.006540 ssim/vi:0.166730
['030.png'] ssim/ir:0.010087 ssim/vi:0.172775
['031.png'] ssim/ir:0.025528 ssim/vi:0.271991
['032.png'] ssim/ir:0.019434 ssim/vi:0.281222
['033.png'] ssim/ir:0.014380 ssim/vi:0.259329
['034.png'] ssim/ir:0.016297 ssim/vi:0.305788
['035.png'] ssim/ir:0.015419 ssim/vi:0.300845
['036.png'] ssim/ir:0.014638 ssim/vi:0.280656
['037.png'] ssim/ir:0.015621 ssim/vi:0.282060
['038.png'] ssim/ir:0.016490 ssim/vi:0.330759
['039.png'] ssim/ir:0.018810 ssim/vi:0.228763
['040.png'] ssim/ir:0.022940 ssim/vi:0.291801
['041.png'] ssim/ir:0.021120 ssim/vi:0.319635
['042.png'] ssim/ir:0.008954 ssim/vi:0.256329
shape of sample : [[351, 505]]
elapsed time for running 42 samples : 0.05346548557281494s
